dateIDd,Weekday,Holiday,Duration,Volume
20200427,1,0,880.0138398914519,3685
20200428,1,0,1053.0104236718225,5948
20200429,1,0,1079.660581859669,7012
20200430,1,0,796.8759461732549,2378
20200501,1,0,948.4029708626928,5251
20200502,0,0,1253.437468244175,13777
20200503,0,0,1221.1556497879772,8018
20200504,1,0,904.7460351944384,4603
20200505,1,0,952.3578108763422,5774
20200506,1,0,1036.982536270822,7444
20200507,1,0,952.890004564126,6573
20200508,1,0,860.6837136113296,5084
20200509,0,0,902.1386760950697,5091
20200510,0,0,1040.0937976060936,4595
20200511,1,0,887.3711064399006,5233
20200512,1,0,943.582498844554,6491
20200513,1,0,1045.047619047619,8610
20200514,1,0,1067.4209564422783,9849
20200515,1,0,832.4255535759735,3929
20200516,0,0,1158.1200030170462,13258
20200517,0,0,1268.9615477776433,16514
20200518,1,1,1182.410365513393,14336
20200519,1,0,1047.4585110507949,10316
20200520,1,0,1082.962777435265,12976
20200521,1,0,1051.6145668400814,13263
20200522,1,0,1070.071735015773,15850
20200523,0,0,1148.6940700090574,18769
20200524,0,0,1199.0086501118042,16994
20200525,1,0,984.43109376452,10761
20200526,1,0,1019.1103873114778,14123
20200527,1,0,996.318698697191,13279
20200528,1,0,977.9334940883634,12856
20200529,1,0,940.6933217692975,11530
20200530,0,0,1073.9564548194703,15593
20200531,0,0,1035.8274536030765,11962
20200601,1,0,927.4765495065972,9019
20200602,1,0,943.1210098665119,10338
20200603,1,0,956.3097899402583,10378
20200604,1,0,1035.7366818873668,17082
20200605,1,0,1013.7760455192034,17575
20200606,0,0,1039.9116979173425,15413
20200607,0,0,1181.8667707012582,20506
20200608,1,0,993.4094965370272,15016
20200609,1,0,972.1353912986243,15193
20200610,1,0,927.973148961077,13668
20200611,1,0,944.8102235972437,14222
20200612,1,0,941.7333619579218,16303
20200613,0,0,996.9511960406929,14548
20200614,0,0,1108.149806701031,18624
20200615,1,0,954.1360051298493,15595
20200616,1,0,960.9778561517114,17296
20200617,1,0,962.0290508940852,18175
20200618,1,0,930.6694242223693,18132
20200619,1,0,934.3259036144578,18260
20200620,0,0,1018.0273848771668,18806
20200621,0,0,1004.3274692133703,15916
20200622,1,0,898.581051407905,15484
20200623,1,0,856.339340779826,14593
20200624,1,1,1028.8374706474337,17886
20200625,1,0,905.2936707414601,17506
20200626,1,0,903.8500534759359,18700
20200627,0,0,948.9045684681503,16986
20200628,0,0,939.098570040261,14406
20200629,1,0,857.492563992564,13986
20200630,1,0,876.4743737735196,17326
20200701,1,1,1012.5382059800664,21070
20200702,1,0,861.5230278422274,17240
20200703,1,0,927.3578101553802,20659
20200704,0,0,974.2360815477035,21141
20200705,0,0,977.686376036969,17961
20200706,1,0,894.0641632653061,18375
20200707,1,0,891.9712732505462,18763
20200708,1,0,862.9984105358765,17616
20200709,1,0,862.73411678296,19061
20200710,1,0,860.6596331764324,18483
20200711,0,0,888.7893853896599,13114
20200712,0,0,954.6180547328515,16882
20200713,1,0,892.0656806354424,18255
20200714,1,0,882.563159512345,19522
20200715,1,0,901.416313036613,20266
20200716,1,0,851.8038815712787,17158
20200717,1,0,888.597588048239,16667
20200718,0,0,986.2972439047894,20754
